restaurant_id,internal_score,expected_kpi_potential
3005.0,100.0,91.365478876644
33.0,88.7284601423836,89.61117888363079
2681.0,95.97383145737297,89.52757207092543
2773.0,90.1098617222369,89.30479338918694
425.0,88.69274323728007,89.12639207585643
643.0,93.81662190818136,88.72496405252923
2853.0,91.81571349978462,87.81263597791708
835.0,93.96585327535776,86.88390405549322
668.0,85.80070436764312,86.19511288355484
2554.0,90.35022066865702,85.52203764629581
1181.0,93.28477652842412,85.35658011825554
2102.0,82.39250772973874,84.56056253145285
426.0,92.99673764744487,84.23023647880999
2925.0,92.28939225968556,84.20769504620216
894.0,97.66677492375354,83.6975171213627
2733.0,88.00952445286062,83.50750646361003
923.0,89.60802077314347,83.40554076821878
2982.0,78.36441510679668,83.25470155589352
1433.0,92.1992194142062,83.1414411076328
1365.0,84.03492675213656,82.96230779924974
2441.0,90.92228685365696,82.79217250288852
2841.0,91.04723282437295,82.69667228879855
1353.0,88.53005475246827,82.53365483513718
997.0,79.68494587271394,82.49214234293562
1594.0,87.39277311635053,82.48171682566274
2723.0,81.35989668939214,82.30950285887386
3243.0,83.71930874621908,82.18522631452927
3293.0,82.34925503734316,82.16422257421858
2188.0,73.22406994287495,82.09546724204586
2780.0,86.98075438239474,81.83683407597563
3905.0,92.11420374703164,81.65382182326283
222.0,93.14702614563495,81.21139147367887
2381.0,87.36349463049389,81.19772568639836
2959.0,85.28272735204166,81.15926068401434
1159.0,87.59955203688565,81.07145407756175
2250.0,82.33446162836489,80.95280088837393
3569.0,80.15932523891604,80.92642323822052
945.0,75.85871552012999,80.51527796961018
1039.0,85.17323460303913,80.40730273823701
5149.0,97.93963168150232,80.20821253105443
4258.0,86.3268409017669,80.18469827585407
5939.0,91.09207204370452,80.1823674895379
5428.0,83.46522969782751,80.1823674895379
2482.0,84.23456533336227,79.99421865802694
863.0,77.90802688030266,79.939985182847
3030.0,92.30341464913704,79.92301167668607
2749.0,89.59895624778365,79.92241882441422
4141.0,88.5217181134493,79.92241882441422
3295.0,89.95479144078551,79.79685555352833
5935.0,75.37376571267579,79.7333913820249
4889.0,92.6679877239064,79.65592625978535
4254.0,84.88344170059894,79.50852260911101
3596.0,92.79008199256867,79.50852260911101
1198.0,88.92073585984934,79.48606381099273
4140.0,84.36847262506498,79.37499741666504
4912.0,75.15365891318267,79.224135615123
1003.0,84.6161431009572,79.22021016486889
3241.0,79.01800952200395,79.01963449314763
1826.0,91.18667313503693,79.00576911048117
5196.0,91.5009166290558,79.00576911048117
4284.0,75.39492870165093,78.97927408623895
4432.0,83.05193532446235,78.87686094242613
3339.0,72.81494213623797,78.75405829892685
2866.0,75.89986224177842,78.7368628085002
2506.0,88.12242947073545,78.71601225322591
4751.0,87.45480429885541,78.68335996000134
3119.0,88.68245692635506,78.68335996000134
3474.0,58.42136072537563,78.61364647686491
5940.0,85.16361655545148,78.58923592635729
2539.0,79.74472912027774,78.5590957547203
753.0,74.4011979538461,78.48207768162331
3217.0,67.82535257799532,78.4090315920669
1337.0,75.28629477189543,78.2574414212025
1854.0,75.20686368756924,78.19712382197197
1483.0,80.60193830750828,78.07081963760766
4506.0,85.2126822874394,78.0254845273961
3282.0,75.84696420737,78.01488601766022
1538.0,83.24955269640112,78.00776620949827
2830.0,75.44429790611521,77.97624012709647
2928.0,81.44239581599074,77.9400962872132
